DURANCE16S_15Cab1003Ch01A	ERS31168050
DURANCE16S_15Cab1011Ch01A	ERS31168051
DURANCE16S_15Cab1019Ch01A	ERS31168052
DURANCE16S_14Bue1015Ch01A	ERS31168055
DURANCE16S_14Man1011Ch01A	ERS31168056
DURANCE16S_14Man1019Ch01A	ERS31168057
DURANCE16S_14Per2011Ch01A	ERS31168058
DURANCE16S_14Per2011Ch01A-bis	ERS31168059
DURANCE16S_15Cab1004Ch01A	ERS31168062
DURANCE16S_15Cab1012Ch01A	ERS31168063
DURANCE16S_14Bue1006Cn01A	ERS31168066
DURANCE16S_14Bue1016Ch01A	ERS31168067
DURANCE16S_14Man1012Ch01A	ERS31168068
DURANCE16S_14Man1020Ch01A	ERS31168069
DURANCE16S_14Per2012Ch01A	ERS31168070
DURANCE16S_14Per2012Ch01A-bis	ERS31168071
DURANCE16S_15Cab1005Ch01A	ERS31168074
DURANCE16S_15Cab1013Ch01A	ERS31168075
DURANCE16S_14Bue1017Ch01A	ERS31168079
DURANCE16S_14Man1013Ch01A	ERS31168080
DURANCE16S_14Man1021Ch01A	ERS31168081
DURANCE16S_14Per2013Ch01A	ERS31168082
DURANCE16S_15Cab1006Ch01A	ERS31168086
DURANCE16S_15Cab1014Ch01A	ERS31168087
DURANCE16S_14Bue1018Ch01A	ERS31168091
DURANCE16S_14Man1014Ch01A	ERS31168092
DURANCE16S_14Man1022Ch01A	ERS31168093
DURANCE16S_14Per2014Ch01A	ERS31168094
DURANCE16S_15Cab1007Ch01A	ERS31168098
DURANCE16S_15Cab1015Ch01A	ERS31168099
DURANCE16S_14Bue1011Ch01A	ERS31168102
DURANCE16S_14Bue1019Ch01A	ERS31168103
DURANCE16S_14Man1015Ch01A	ERS31168104
DURANCE16S_14Per1011Ch01A	ERS31168105
DURANCE16S_14Per2015Ch01A	ERS31168106
DURANCE16S_15Cab1008Ch01A	ERS31168110
DURANCE16S_15Cab1016Ch01A	ERS31168111
DURANCE16S_14Bue1012Ch01A	ERS31168114
DURANCE16S_14Man1001Cn01A	ERS31168115
DURANCE16S_14Man1016Ch01A	ERS31168116
DURANCE16S_14per1012Ch01A	ERS31168117
DURANCE16S_15Cab1001Ch01A	ERS31168121
DURANCE16S_15Cab1009Ch01A	ERS31168122
DURANCE16S_15Cab1017Ch01A	ERS31168123
DURANCE16S_14Bue1013Ch01A	ERS31168126
DURANCE16S_14Man1002Cn01A	ERS31168127
DURANCE16S_14Man1017Ch01A	ERS31168128
DURANCE16S_14per1013Ch01A	ERS31168129
DURANCE16S_15Cab1002Ch01A	ERS31168133
DURANCE16S_15Cab1010Ch01A	ERS31168134
DURANCE16S_15Cab1018Ch01A	ERS31168135
DURANCE16S_14Bue1014Ch01A	ERS31168138
DURANCE16S_14Man1010Cn01A	ERS31168139
DURANCE16S_14Man1018Ch01A	ERS31168140
DURANCE16S_14per1014Ch01A	ERS31168141
DURANCE16S_15Bau1001Ch01A	ERS31168144
DURANCE16S_15Bau1009Ch01A	ERS31168145
DURANCE16S_15Bau1017Ch01A	ERS31168146
DURANCE16S_15Bau1025Ch01A	ERS31168147
DURANCE16S_15Jus1008Ch01A	ERS31168148
DURANCE16S_15Jus1016Ch01A	ERS31168149
DURANCE16S_15Caa1005Ch01A	ERS31168150
DURANCE16S_15Caa1013Ch01A	ERS31168151
DURANCE16S_15Avi1001Cn01A	ERS31168152
DURANCE16S_15Bue1004Ch01A	ERS31168154
DURANCE16S_15Bue1012Ch01A	ERS31168155
DURANCE16S_15Bau1002Ch01A	ERS31168156
DURANCE16S_15Bau1010Ch01A	ERS31168157
DURANCE16S_15Bau1018Ch01A	ERS31168158
DURANCE16S_15Jus1001Ch01A	ERS31168159
DURANCE16S_15Jus1009Ch01A	ERS31168160
DURANCE16S_15Jus1017Ch01A	ERS31168161
DURANCE16S_15Caa1006Ch01A	ERS31168162
DURANCE16S_15Caa1014Ch01A	ERS31168163
DURANCE16S_15Avi1002Cn01A	ERS31168164
DURANCE16S_15Bue1005Ch01A	ERS31168166
DURANCE16S_15Bue1013Ch01A	ERS31168167
DURANCE16S_15Bau1003Ch01A	ERS31168168
DURANCE16S_15Bau1011Ch01A	ERS31168169
DURANCE16S_15Bau1019Ch01A	ERS31168170
DURANCE16S_15Jus1002Ch01A	ERS31168171
DURANCE16S_15Jus1010Ch01A	ERS31168172
DURANCE16S_15Jus1018Ch01A	ERS31168173
DURANCE16S_15Caa1007Ch01A	ERS31168174
DURANCE16S_15Caa1015Ch01A	ERS31168175
DURANCE16S_15Avi1011Cn01A	ERS31168177
DURANCE16S_15Bue1006Ch01A	ERS31168178
DURANCE16S_15Bue1014Ch01A	ERS31168179
DURANCE16S_15Bau1004Ch01A	ERS31168180
DURANCE16S_15Bau1012Ch01A	ERS31168181
DURANCE16S_15Bau1020Ch01A	ERS31168182
DURANCE16S_15Jus1003Ch01A	ERS31168183
DURANCE16S_15Jus1011Ch01A	ERS31168184
DURANCE16S_15Jus1019Ch01A	ERS31168185
DURANCE16S_15Caa1008Ch01A	ERS31168186
DURANCE16S_15Caa1016Ch01A	ERS31168187
DURANCE16S_15Avi1012Pt01A	ERS31168189
DURANCE16S_15Bue1007Ch01A	ERS31168190
DURANCE16S_15Bue1015Ch01A	ERS31168191
