individual_id,site_code,site_nom,riviere,role_population,annee,individual,taxon_code_actuel,espece_actuelle,sexe,taille_cm,poids_g,n_tissus_sequences,tissus,Individu,taxon_code_index,mediane des Index par chromosome,delta_mediane_quart
2014_Bue_1005,Bue,Büech,Durance,sympatrie+hyb,2014,1005,Cn,Chondrostoma nasus,,29.0,167.0,4,branchie;caudale;hindgut;midgut,14Bue1005,Cn,0.996529,0.015122999999999998
2014_Bue_1006,Bue,Büech,Durance,sympatrie+hyb,2014,1006,Cn,Chondrostoma nasus,,27.0,182.0,4,branchie;caudale;hindgut;midgut,14Bue1006,Hy,0.9466924999999999,0.09561849999999994
2014_Bue_1007,Bue,Büech,Durance,sympatrie+hyb,2014,1007,Cn,Chondrostoma nasus,,26.0,149.0,4,branchie;caudale;hindgut;midgut,14Bue1007,Cn,0.9999,0.013390000000000013
2014_Bue_1008,Bue,Büech,Durance,sympatrie+hyb,2014,1008,Cn,Chondrostoma nasus,,23.5,115.0,4,branchie;caudale;hindgut;midgut,14Bue1008,Cn,0.9999,0.019206999999999974
2014_Bue_1011,Bue,Büech,Durance,sympatrie+hyb,2014,1011,Ch,Chondrostoma sp.,M,14.5,22.0,4,branchie;caudale;hindgut;midgut,14Bue1011,Pt,0.0001,0.0232161
2014_Bue_1012,Bue,Büech,Durance,sympatrie+hyb,2014,1012,Ch,Chondrostoma sp.,M,18.5,43.0,4,branchie;caudale;hindgut;midgut,14Bue1012,Pt,0.0001,0.0
2014_Bue_1013,Bue,Büech,Durance,sympatrie+hyb,2014,1013,Ch,Chondrostoma sp.,,13.5,15.0,4,branchie;caudale;hindgut;midgut,14Bue1013,Pt,0.0001,0.023389300000000002
2014_Bue_1014,Bue,Büech,Durance,sympatrie+hyb,2014,1014,Ch,Chondrostoma sp.,,13.0,16.0,4,branchie;caudale;hindgut;midgut,14Bue1014,Pt,0.00459266,0.015245940000000001
2014_Bue_1015,Bue,Büech,Durance,sympatrie+hyb,2014,1015,Ch,Chondrostoma sp.,,12.5,15.0,4,branchie;caudale;hindgut;midgut,14Bue1015,Pt,0.0001,0.027206
2014_Bue_1016,Bue,Büech,Durance,sympatrie+hyb,2014,1016,Ch,Chondrostoma sp.,,18.5,44.0,3,caudale;hindgut;midgut,14Bue1016,Pt,0.0001,0.025033800000000002
2014_Bue_1017,Bue,Büech,Durance,sympatrie+hyb,2014,1017,Ch,Chondrostoma sp.,,13.5,16.0,4,branchie;caudale;hindgut;midgut,14Bue1017,Pt,0.0001,0.0436135
