individual_id,site_code,site_nom,riviere,role_population,annee,individual,taxon_code_actuel,espece_actuelle,sexe,taille_cm,poids_g,n_tissus_sequences,tissus,index_hybride,index_hybride_source
2015_Bau_1006,Bau,Baume,Ardèche,asym. Toxo,2015,1006,Ch,Chondrostoma sp.,F,24,163,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1014,Bau,Baume,Ardèche,asym. Toxo,2015,1014,Ch,Chondrostoma sp.,NA,22,115,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1022,Bau,Baume,Ardèche,asym. Toxo,2015,1022,Ch,Chondrostoma sp.,M,16.5,63,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1005,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1005,Ch,Chondrostoma sp.,M,15.5,42,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1013,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1013,Ch,Chondrostoma sp.,M,44,991,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1002,Caa,canal,Durance,allopatrie,2015,1002,Ch,Chondrostoma sp.,X,13,21,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1010,Caa,canal,Durance,allopatrie,2015,1010,Ch,Chondrostoma sp.,X,11.5,15,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1018,Caa,canal,Durance,allopatrie,2015,1018,Ch,Chondrostoma sp.,X,10.5,12,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Avi_1006,Avi,Avignon,Durance,asym. Hotu,2015,1006,Cn,Chondrostoma nasus,X,15,38,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2015_Bue_1001,Bue,Büech,Durance,sympatrie+hyb,2015,1001,Ch,Chondrostoma sp.,M,30.5,386,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bue_1009,Bue,Büech,Durance,sympatrie+hyb,2015,1009,Ch,Chondrostoma sp.,M,30.5,327,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bue_1017,Bue,Büech,Durance,sympatrie+hyb,2015,1017,Ch,Chondrostoma sp.,M,31.5,363,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1007,Bau,Baume,Ardèche,asym. Toxo,2015,1007,Ch,Chondrostoma sp.,F,24,155,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1015,Bau,Baume,Ardèche,asym. Toxo,2015,1015,Ch,Chondrostoma sp.,M,19,77,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1023,Bau,Baume,Ardèche,asym. Toxo,2015,1023,Ch,Chondrostoma sp.,M,17,60,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1006,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1006,Ch,Chondrostoma sp.,X,15,41,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1014,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1014,Ch,Chondrostoma sp.,X,16,49,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1003,Caa,canal,Durance,allopatrie,2015,1003,Ch,Chondrostoma sp.,X,12,16,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1011,Caa,canal,Durance,allopatrie,2015,1011,Ch,Chondrostoma sp.,F,18,62,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1019,Caa,canal,Durance,allopatrie,2015,1019,Ch,Chondrostoma sp.,X,12,18,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Avi_1007,Avi,Avignon,Durance,asym. Hotu,2015,1007,Cn,Chondrostoma nasus,X,11.5,17,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2015_Bue_1002,Bue,Büech,Durance,sympatrie+hyb,2015,1002,Ch,Chondrostoma sp.,M,30.5,391,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bue_1010,Bue,Büech,Durance,sympatrie+hyb,2015,1010,Ch,Chondrostoma sp.,M,25,215,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bue_1018,Bue,Büech,Durance,sympatrie+hyb,2015,1018,Ch,Chondrostoma sp.,X,31,376,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1008,Bau,Baume,Ardèche,asym. Toxo,2015,1008,Ch,Chondrostoma sp.,M,18,70,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1016,Bau,Baume,Ardèche,asym. Toxo,2015,1016,Ch,Chondrostoma sp.,F,18,63,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1024,Bau,Baume,Ardèche,asym. Toxo,2015,1024,Ch,Chondrostoma sp.,,,,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1007,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1007,Ch,Chondrostoma sp.,M,17,51,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Jus_1015,Jus,St-Just,Ardèche,sympatrie+hyb,2015,1015,Ch,Chondrostoma sp.,X,16,44,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1004,Caa,canal,Durance,allopatrie,2015,1004,Ch,Chondrostoma sp.,X,12.5,23,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1012,Caa,canal,Durance,allopatrie,2015,1012,Ch,Chondrostoma sp.,M,15.5,45,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Caa_1020,Caa,canal,Durance,allopatrie,2015,1020,Ch,Chondrostoma sp.,X,9.5,8,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Avi_1008,Avi,Avignon,Durance,asym. Hotu,2015,1008,Cn,Chondrostoma nasus,X,12,21,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2015_Bue_1003,Bue,Büech,Durance,sympatrie+hyb,2015,1003,Ch,Chondrostoma sp.,M,33.5,491,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bue_1011,Bue,Büech,Durance,sympatrie+hyb,2015,1011,Ch,Chondrostoma sp.,X,29,298,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Per_2015,Per,?,?,à statuer,2015,2015,Ch,Chondrostoma sp.,,,,1,hindgut,,A_REMPLIR_ANDRE
