individual_id,site_code,site_nom,riviere,role_population,annee,individual,taxon_code_actuel,espece_actuelle,sexe,taille_cm,poids_g,n_tissus_sequences,tissus,index_hybride,index_hybride_source
2014_Bue_1017,Bue,Büech,Durance,sympatrie+hyb,2014,1017,Ch,Chondrostoma sp.,NA,13.5,16,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Man_1013,Man,Manosque,Durance,à statuer,2014,1013,Ch,Chondrostoma sp.,X,11.5,15,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Man_1021,Man,Manosque,Durance,à statuer,2014,1021,Ch,Chondrostoma sp.,M,11,14,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Per_2013,Per,?,?,à statuer,2014,2013,Ch,Chondrostoma sp.,M,15,46,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Ain_1012,Ain,Ain,Ain,allopatrie,2014,1012,Pt,Parachondrostoma toxostoma,F,17.5,62,4,branchie;caudale;hindgut;midgut,1,connu (Cn=0/Pt=1)
2014_Ain_1041,Ain,Ain,Ain,allopatrie,2014,1041,Pt,Parachondrostoma toxostoma,F,20,102,4,branchie;caudale;hindgut;midgut,1,connu (Cn=0/Pt=1)
2015_Cab_1006,Cab,Ain,Ain,allopatrie,2015,1006,Ch,Chondrostoma sp.,F,32.5,484,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Cab_1014,Cab,Ain,Ain,allopatrie,2015,1014,Ch,Chondrostoma sp.,F,18.5,74,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Avi_1003,Avi,Avignon,Durance,asym. Hotu,2014,1003,Cn,Chondrostoma nasus,M,27.5,259,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Avi_1038,Avi,Avignon,Durance,asym. Hotu,2014,1038,Cn,Chondrostoma nasus,M,34.5,525,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Bue_1008,Bue,Büech,Durance,sympatrie+hyb,2014,1008,Cn,Chondrostoma nasus,NA,23.5,115,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Bue_1018,Bue,Büech,Durance,sympatrie+hyb,2014,1018,Ch,Chondrostoma sp.,NA,15.5,29,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Man_1014,Man,Manosque,Durance,à statuer,2014,1014,Ch,Chondrostoma sp.,M,11.5,15,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Man_1022,Man,Manosque,Durance,à statuer,2014,1022,Ch,Chondrostoma sp.,X,10,12,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Per_2014,Per,?,?,à statuer,2014,2014,Ch,Chondrostoma sp.,M,13.5,34,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Ain_1013,Ain,Ain,Ain,allopatrie,2014,1013,Pt,Parachondrostoma toxostoma,M,14,32,4,branchie;caudale;hindgut;midgut,1,connu (Cn=0/Pt=1)
2014_Ain_1042,Ain,Ain,Ain,allopatrie,2014,1042,Pt,Parachondrostoma toxostoma,F,13.5,28,4,branchie;caudale;hindgut;midgut,1,connu (Cn=0/Pt=1)
2015_Cab_1007,Cab,Ain,Ain,allopatrie,2015,1007,Ch,Chondrostoma sp.,M,26,214,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Cab_1015,Cab,Ain,Ain,allopatrie,2015,1015,Ch,Chondrostoma sp.,M,17.5,68,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Avi_1004,Avi,Avignon,Durance,asym. Hotu,2014,1004,Cn,Chondrostoma nasus,M,25.5,228,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Bue_1001,Bue,Büech,Durance,sympatrie+hyb,2014,1001,Cn,Chondrostoma nasus,,,,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Bue_1011,Bue,Büech,Durance,sympatrie+hyb,2014,1011,Ch,Chondrostoma sp.,M,14.5,22,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Bue_1019,Bue,Büech,Durance,sympatrie+hyb,2014,1019,Ch,Chondrostoma sp.,NA,12.5,15,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Man_1015,Man,Manosque,Durance,à statuer,2014,1015,Ch,Chondrostoma sp.,X,11,15,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Per_1011,Per,?,?,à statuer,2014,1011,Ch,Chondrostoma sp.,X,13.5,29.5,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Per_2015,Per,?,?,à statuer,2014,2015,Ch,Chondrostoma sp.,M,15,43,3,branchie;caudale;midgut,,A_REMPLIR_ANDRE
2014_Ain_1014,Ain,Ain,Ain,allopatrie,2014,1014,Pt,Parachondrostoma toxostoma,M,15,38,4,branchie;caudale;hindgut;midgut,1,connu (Cn=0/Pt=1)
2014_Ain_1043,Ain,Ain,Ain,allopatrie,2014,1043,Pt,Parachondrostoma toxostoma,F,13,23,4,branchie;caudale;hindgut;midgut,1,connu (Cn=0/Pt=1)
2015_Cab_1008,Cab,Ain,Ain,allopatrie,2015,1008,Ch,Chondrostoma sp.,M,47,1359,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Cab_1016,Cab,Ain,Ain,allopatrie,2015,1016,Ch,Chondrostoma sp.,M,18,73,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
