question,reponse,sample_name,autres_noms,year,site,individual,tissue_code,extraction,plate,well,sample_id,flags
ré-extraction : bien le même tissu que l'extraction initiale ?,,14Per2011Ch01A_bis,14Per2011Ch01A-bis,2014,Per,2011,01,bis,1,A12,12,bis
ré-extraction : bien le même tissu que l'extraction initiale ?,,14Per2012Ch01A_bis,14Per2012Ch01A-bis,2014,Per,2012,01,bis,1,B12,24,bis
ré-extraction : bien le même tissu que l'extraction initiale ?,,14Per2011Ch05A_bis,14Per2011Ch05A-bis,2014,Per,2011,05,bis,3,A12,204,bis
ré-extraction : bien le même tissu que l'extraction initiale ?,,14Per2012Ch05A_bis,14Per2012Ch05A-bis,2014,Per,2012,05,bis,3,B12,216,bis
ré-extraction : bien le même tissu que l'extraction initiale ?,,14Bue1006Cn05Abis,,2014,Bue,1006,05,bis,3,C07,223,nom_corrige;bis
ré-extraction : bien le même tissu que l'extraction initiale ?,,14Per2011Ch03A_bis,14Per2011Ch03A-bis,2014,Per,2011,03,bis,5,A12,396,bis
ré-extraction : bien le même tissu que l'extraction initiale ?,,14Per2012Ch03A_bis,14Per2012Ch03A-bis,2014,Per,2012,03,bis,5,B12,408,bis
ré-extraction : bien le même tissu que l'extraction initiale ?,,14Per2012Ch02A_bis,14Per2012Ch02A-bis,2014,Per,2012,02,bis,7,A12,588,bis
ré-extraction : bien le même tissu que l'extraction initiale ?,,14Per2013Ch02A_bis,14Per2013Ch02A-bis,2014,Per,2013,02,bis,7,B12,600,bis
