individual_id,site_code,site_nom,riviere,annee,individual,taxon_morpho,classe_genotype,index_median,D,classe_selon_regles,sexe,taille_cm,n_tissus,bloc_numerotation,utilisable_3000,n_tissus_utilisables
2014_Man_1001,Man,Manosque,Durance,2014,1001,Cn,Pt,0.0001,0.0031458500000000004,pur Pt,X,13.0,4,A (1001-1010),True,4
2014_Man_1002,Man,Manosque,Durance,2014,1002,Cn,Hy,0.0001,0.366158,introgressé Pt,M,14.5,4,A (1001-1010),True,3
2014_Man_1010,Man,Manosque,Durance,2014,1010,Cn,Pt,0.0001,0.0,pur Pt,X,11.5,4,A (1001-1010),True,4
2014_Man_1011,Man,Manosque,Durance,2014,1011,Ch,Pt,0.0001,0.0034689200000000003,pur Pt,M,13.5,4,B (>1010),True,3
2014_Man_1012,Man,Manosque,Durance,2014,1012,Ch,Pt,0.0001,0.00126172,pur Pt,X,11.5,4,B (>1010),True,4
2014_Man_1013,Man,Manosque,Durance,2014,1013,Ch,Pt,0.0001,0.0236388,pur Pt,X,11.5,4,B (>1010),True,4
2014_Man_1014,Man,Manosque,Durance,2014,1014,Ch,Pt,0.0001,0.0023953100000000003,pur Pt,M,11.5,4,B (>1010),True,3
2014_Man_1015,Man,Manosque,Durance,2014,1015,Ch,Pt,0.0001,0.0,pur Pt,X,11.0,4,B (>1010),True,4
2014_Man_1016,Man,Manosque,Durance,2014,1016,Ch,Pt,0.0001,0.00548115,pur Pt,X,11.5,4,B (>1010),True,4
2014_Man_1017,Man,Manosque,Durance,2014,1017,Ch,Pt,0.0001,0.0,pur Pt,X,12.0,4,B (>1010),True,3
2014_Man_1018,Man,Manosque,Durance,2014,1018,Ch,Pt,0.0001,0.0202354,pur Pt,X,11.0,4,B (>1010),True,4
2014_Man_1019,Man,Manosque,Durance,2014,1019,Ch,Pt,0.0001,0.00794395,pur Pt,X,9.5,4,B (>1010),True,4
2014_Man_1020,Man,Manosque,Durance,2014,1020,Ch,Pt,0.0001,0.00115361,pur Pt,X,9.5,4,B (>1010),True,4
2014_Man_1021,Man,Manosque,Durance,2014,1021,Ch,Hy,0.2179825,0.1247321,F1 (D faible),M,11.0,4,B (>1010),True,4
2014_Man_1022,Man,Manosque,Durance,2014,1022,Ch,Pt,0.0001,0.010545200000000001,pur Pt,X,10.0,4,B (>1010),True,4
2014_Per_1011,Per,Pertuis,Durance,2014,1011,Ch,Pt,0.0001,0.01805,pur Pt,X,13.5,4,B (>1010),True,4
2014_Per_1012,Per,Pertuis,Durance,2014,1012,Ch,Pt,0.0001,0.00345481,pur Pt,X,12.5,4,B (>1010),True,4
2014_Per_1013,Per,Pertuis,Durance,2014,1013,Ch,Pt,0.0001,0.0,pur Pt,,,4,B (>1010),True,4
2014_Per_1014,Per,Pertuis,Durance,2014,1014,Ch,Pt,0.0001,0.006368319999999999,pur Pt,M,13.5,4,B (>1010),True,4
2014_Per_2011,Per,Pertuis,Durance,2014,2011,Ch,Pt,0.0001,0.0198136,pur Pt,F,16.0,4,B (>1010),True,4
2014_Per_2012,Per,Pertuis,Durance,2014,2012,Ch,Pt,0.0001,0.0,pur Pt,M,15.0,4,B (>1010),True,4
2014_Per_2013,Per,Pertuis,Durance,2014,2013,Ch,Hy,0.2097815,0.1761465,F1 (D faible),M,15.0,4,B (>1010),True,4
2014_Per_2014,Per,Pertuis,Durance,2014,2014,Ch,Pt,0.0001,0.0,pur Pt,M,13.5,4,B (>1010),True,4
2014_Per_2015,Per,Pertuis,Durance,2014,2015,Ch,Pt,0.0001,0.0,pur Pt,M,15.0,3,B (>1010),True,3
2015_Avi_1001,Avi,Avignon,Durance,2015,1001,Cn,Hy,0.9999,0.36144699999999996,introgressé Cn,M,34.5,4,A (1001-1010),True,3
2015_Avi_1002,Avi,Avignon,Durance,2015,1002,Cn,Hy,0.529004,0.06558199999999992,F1 (D faible),F,26.0,4,A (1001-1010),True,3
2015_Avi_1003,Avi,Avignon,Durance,2015,1003,Cn,Cn,0.9999,0.020881999999999956,pur Cn,M,26.0,4,A (1001-1010),True,4
2015_Avi_1004,Avi,Avignon,Durance,2015,1004,Cn,Cn,0.9999,0.022290000000000032,pur Cn,F,32.0,4,A (1001-1010),True,4
2015_Avi_1005,Avi,Avignon,Durance,2015,1005,Cn,Cn,0.99929,0.06421699999999997,pur Cn,M,27.5,4,A (1001-1010),True,4
2015_Avi_1006,Avi,Avignon,Durance,2015,1006,Cn,Cn,0.981626,0.024009999999999976,pur Cn,X,15.0,4,A (1001-1010),True,3
2015_Avi_1007,Avi,Avignon,Durance,2015,1007,Cn,Cn,0.9999,0.08638400000000002,pur Cn,X,11.5,4,A (1001-1010),True,3
