Individu;Q2_Ch1;Q2_Ch2;Q2_ch3;Q1_ch4;Q2_ch5;Q2_ch6;Q2_ch7;Q1_ch8;Q2_Ch9;Q1_Ch10;Q2_ch11;Q2_Ch12;Q2_ch13;Q1_14;Q2_15;Q2_16;Q1_17;Q2_Ch18;Q1_ch19;Q2_ch20;Q1_ch21;Q1_ch22;Q1_ch23;Q2_24;Q2_ch25
15Bau1022Pt;0,0563949;0,0346541;1E-04;0,000552768;1E-04;0,00807243;0,0224358;0,0475475;0,046394;0,0254055;0,0040928;0,0299195;0,0265937;0,0808821;0,0149382;0,0335685;1E-04;0,0273505;1E-04;0,0238204;0,0709649;0,0347969;1E-04;0,0660598;0,0154365
15Bau1023Pt;0,00209017;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,030856;1E-04;1E-04;0,00393209;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
15Bau1024Pt;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,0108245;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,0626971;0,00546227;0,0132795;0,0120489;1E-04
15Bau1025Pt;0,0462736;0,0075553;1E-04;0,0260426;0,00615918;0,0258302;0,0728355;0,0312022;0,0719873;1E-04;0,00249568;0,00828539;0,0155011;0,0225679;0,0438471;0,0720066;1E-04;0,0856952;0,0548367;0,0201035;0,0519548;0,0326988;1E-04;0,0297745;0,0936058
15Bau1001Pt;1E-04;1E-04;1E-04;1E-04;1E-04;0,00411095;1E-04;1E-04;1E-04;1E-04;0,00377242;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,0150661;1E-04;1E-04;1E-04;1E-04;0,0012884;1E-04
15Bau1002Pt;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,00056527;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
15Bau1003Pt;0,000594494;1E-04;1E-04;1E-04;1E-04;0,00350153;1E-04;0,00477187;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
15Bau1004Hy;1E-04;1E-04;1E-04;1E-04;0,00691898;1E-04;0,0792913;1E-04;1E-04;1E-04;1E-04;1E-04;0,544773;0,00364027;0,00702852;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
15Bau1007Pt;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,000188148;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,00199377;1E-04;1E-04;1E-04;0,00837844;1E-04;1E-04;1E-04
15Bau1010Hy;1E-04;0,113501;1E-04;1E-04;0,0546955;1E-04;1E-04;1E-04;1E-04;1E-04;0,0342496;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,0864548;1E-04;0,436619;0,0103063;0,375979;1E-04;1E-04
15Bau1011Pt;1E-04;1E-04;0,0100146;0,0128107;1E-04;1E-04;0,0442393;0,0279546;0,0266059;1E-04;0,0172901;0,00327781;1E-04;1E-04;0,00638691;1E-04;0,00432364;1E-04;1E-04;1E-04;1E-04;0,0279197;1E-04;0,00156659;1E-04
15Bau1012Pt;1E-04;0,00379103;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,0143221;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
15Bau1019Hy;1E-04;1E-04;0,00383055;1E-04;0,00110064;1E-04;1E-04;1E-04;1E-04;1E-04;0,100747;1E-04;0,46762;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,000444994
15Bau1020Hy;1E-04;1E-04;0,00357184;1E-04;1E-04;0,0172305;1E-04;0,0111542;0,0210888;1E-04;1E-04;0,206649;1E-04;0,0104389;1E-04;1E-04;0,0217622;0,00289624;0,0124403;1E-04;1E-04;1E-04;1E-04;0,0146991;1E-04
15Bau1021Hy;0,223065;1E-04;0,0269473;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,0181151;0,132575;1E-04;1E-04;0,0232426;1E-04;1E-04;1E-04;0,0345185;1E-04;0,0458908;0,00909977;1E-04;1E-04;1E-04;1E-04
15Bue1001Cn;0,987683;0,948451;0,969845;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,887361;0,956767;0,9999;0,948881;0,988825;0,9999;0,975887;0,9999;0,9999;0,970242;0,9999
15Bue1005Hy;0,141127;0,0914722;0,099437;0,0173119;0,111639;0,107625;0,134732;0,167319;0,159651;0,0734872;0,150019;0,137636;0,152137;0,0740257;0,0950015;0,0605558;0,0325216;0,0825554;0,0454281;0,103725;0,154518;0,199112;0,126972;0,155426;0,0765616
15Bue1006Pt;0,0725651;0,0210969;0,00962306;1E-04;0,00582648;0,0413842;0,0520109;0,00361223;0,00992978;1E-04;0,0134801;0,00753796;0,022151;0,048365;1E-04;1E-04;0,00135345;1E-04;0,0161996;1E-04;0,0750894;1E-04;0,0296896;0,121623;1E-04
15Bue1007Hy;0,162952;0,164715;0,127292;0,199153;0,176597;0,169224;0,196991;0,184602;0,245335;0,214603;0,183716;0,246455;0,443971;0,158276;0,247473;0,266093;0,10565;0,134629;0,193012;0,211715;0,176338;0,266411;0,248417;0,225627;0,148627
15Bue1008Pt;0,00720356;0,00364195;0,00955818;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,00246784;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
15Bue1009Hy;0,971212;0,943645;0,928126;0,858772;0,977622;0,88816;0,868003;0,893871;0,927261;0,964183;0,943568;0,953268;0,920081;0,913999;0,871607;0,881203;0,860978;0,893122;0,962582;0,953112;0,914751;0,974796;0,905144;0,802575;0,982978
15Bue1010Hy;0,530626;0,517317;0,533764;0,526534;0,545693;0,520599;0,490801;0,544549;0,540841;0,501102;0,502979;0,503211;0,539205;0,539757;0,502313;0,531853;0,484222;0,5416;0,557147;0,547025;0,578973;0,650977;0,560346;0,490503;0,510138
15Bue1011Hy;0,682839;0,701737;0,7876;0,702565;0,657202;0,773367;0,746575;0,648476;0,68586;0,66053;0,696319;0,70151;0,679204;0,886341;0,642354;0,750472;0,77457;0,808681;0,755695;0,670533;0,579964;0,70052;0,656019;0,753858;0,73795
15Bue1012Hy;1E-04;1E-04;0,00176067;1E-04;1E-04;0,0128711;0,022636;1E-04;0,0129389;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,0018985;1E-04;0,00989698;1E-04;1E-04;1E-04;0,393105;0,175583;1E-04
15Bue1013Pt;1E-04;0,00284698;1E-04;1E-04;1E-04;0,000974271;0,018807;1E-04;0,00132796;1E-04;1E-04;1E-04;1E-04;1E-04;0,00845344;1E-04;1E-04;0,000675761;1E-04;0,019695;1E-04;1E-04;1E-04;0,0262861;1E-04
15Bue1015Pt;1E-04;0,0320617;0,00759866;1E-04;1E-04;0,00187939;1E-04;1E-04;0,0179451;1E-04;1E-04;0,0177049;1E-04;1E-04;0,00499354;1E-04;1E-04;1E-04;0,0025965;1E-04;1E-04;0,0107863;1E-04;1E-04;1E-04
15Bue1016Hy;0,861524;0,896635;0,923966;0,876186;0,907453;0,862144;0,848473;0,830149;0,878425;0,922013;0,830218;0,899037;0,798831;0,894876;0,859074;0,90805;0,90069;0,923681;0,899965;0,88128;0,77021;0,786082;0,842447;0,731644;0,799583
15Bue1017Cn;0,966076;0,9999;0,964076;0,9999;0,9999;0,9999;0,99329;0,9999;0,931048;0,9999;0,9999;0,977802;0,9999;0,961867;0,884591;0,9999;0,9999;0,903827;0,994493;0,985887;0,96719;0,9999;0,9673;0,9999;0,997389
15Bue1018Hy;0,865835;0,864093;0,894814;0,916736;0,855728;0,893544;0,866245;0,965584;0,896889;0,970869;0,95594;0,957209;0,905428;0,989737;0,953404;0,933523;0,928033;0,876317;0,995534;0,901734;0,875725;0,8852;0,859994;0,826889;0,951509
15Bue1002Cn;0,9999;0,9999;0,9999;0,988865;0,9999;0,9999;0,9999;0,9999;0,992779;0,98814;0,9999;0,9999;0,9999;0,986645;0,9999;0,9999;0,9999;0,984065;0,9999;0,937875;0,9999;0,988471;0,9999;0,9999;0,9999
15Bue1003Cn;0,989111;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,983953;0,9999;0,998285;0,949862;0,9999;0,978522;0,99657;0,9999;0,9999;0,984338;0,9999;0,9999;0,9999;0,9999
15Bue1004Pt;1E-04;1E-04;1E-04;1E-04;1E-04;0,0134356;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
15Caa1001Cn;0,981034;0,986045;0,925055;0,916209;0,947286;0,9999;0,94688;0,927459;0,960353;0,9999;0,940768;0,943344;0,952378;0,965627;0,982039;0,932315;0,880854;0,94258;0,938514;0,943724;0,889068;0,93353;0,956888;0,975242;0,893959
15Caa1002Cn;0,9999;0,938299;0,992568;0,9999;0,9999;0,984023;0,998965;0,913244;0,973947;0,9999;0,996166;0,9999;0,975298;0,937815;0,9999;0,954059;0,91356;0,9999;0,969116;0,962576;0,901971;0,9999;0,906465;0,892561;0,9999
15Caa1003Cn;0,995673;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,936702;0,988603;0,9999;0,9999;0,9999;0,9999;0,9999;0,89449;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999
15Caa1004Cn;0,996017;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,987593;0,994109;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,965254
15Caa1005Cn;0,981373;0,997667;0,994663;0,999238;0,9999;0,9999;0,9999;0,956296;0,9999;0,9999;0,987917;0,9999;0,9999;0,945565;0,9999;0,9999;0,987162;0,978222;0,9999;0,9999;0,9999;0,968675;0,9999;0,99259;0,9999
15Caa1006Hy;0,933531;0,938018;0,906238;0,945257;0,869263;0,958311;0,896893;0,859018;0,948506;0,982255;0,901571;0,951796;0,881861;0,941273;0,918041;0,958364;0,852928;0,924475;0,966971;0,961312;0,791934;0,999439;0,885212;0,917858;0,874821
15Caa1007Cn;0,9999;0,9999;0,981438;0,968052;0,9999;0,952582;0,93206;0,972314;0,943381;0,9999;0,9999;0,973334;0,982107;0,981246;0,9999;0,9999;0,981427;0,975767;0,977401;0,9999;0,999416;0,9999;0,9999;0,988087;0,9999
15Caa1008Hy;0,838852;0,899301;0,870505;0,976495;0,949379;0,919736;0,84087;0,931609;0,962512;0,879925;0,878668;0,936841;0,872399;0,922642;0,959933;0,877143;0,815462;0,918364;0,884839;0,874703;0,922761;0,864391;0,923243;0,970231;0,886887
15Caa1009Cn;0,9999;0,9999;0,996263;0,9999;0,9999;0,996915;0,9999;0,957663;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,965645;0,989004;0,9999;0,961473;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999
15Caa1010Cn;0,9999;0,984003;0,9999;0,9999;0,9999;0,9999;0,9999;0,965848;0,9999;0,9999;0,9999;0,993785;0,9999;0,992193;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,993036;0,980712;0,9999;0,9999;0,955119
15Caa1011Pt;1E-04;0,00812017;1E-04;1E-04;0,00942636;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,0103741;1E-04;1E-04;1E-04;0,0907421;1E-04;0,000126686;1E-04;1E-04;0,000184552;1E-04;1E-04
15Caa1012Pt;1E-04;1E-04;1E-04;0,0308393;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,0416878;1E-04;0,03888;1E-04;1E-04;0,00981173;0,0268194;1E-04;1E-04;1E-04;1E-04;1E-04
15Caa1013Pt;0,0016457;1E-04;1E-04;0,00484476;1E-04;1E-04;0,00252825;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,0215899;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
15Caa1014Pt;1E-04;1E-04;1E-04;1E-04;1E-04;0,0167507;0,00260059;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;0,00864726;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04;1E-04
15Caa1015Hy;0,458963;0,739475;0,60759;0,768334;0,770711;0,666423;0,543849;0,814445;0,774363;0,8421;0,80075;0,64236;0,790392;0,767234;0,697169;0,808013;0,211646;0,858603;0,77549;0,354221;0,748224;0,780016;0,62246;0,71861;0,564287
15Caa1016Hy;1E-04;0,217409;0,0156384;1E-04;1E-04;1E-04;0,000143974;1E-04;0,0338653;1E-04;1E-04;0,0100702;1E-04;1E-04;0,00592031;1E-04;1E-04;0,006712;1E-04;0,0210321;1E-04;0,00655283;1E-04;1E-04;0,0305401
